City,State|County|State|Population|FIPS|Total City,State Population|County Population Proportion
New York City,New York|Bronx County|New York|1418207|36005|8336817|0.17
New York City,New York|Kings County|New York|2559903|36047|8336817|0.31
New York City,New York|New York County|New York|1628706|36061|8336817|0.2
New York City,New York|Queens County|New York|2253858|36081|8336817|0.27
New York City,New York|Richmond County|New York|476143|36085|8336817|0.06
Kansas City,Missouri|Cass County|Missouri|105780|29037|1163157|0.09
Kansas City,Missouri|Clay County|Missouri|249948|29047|1163157|0.21
Kansas City,Missouri|Jackson County|Missouri|703011|29095|1163157|0.6
Kansas City,Missouri|Platte County|Missouri|104418|29165|1163157|0.09
Joplin,Missouri|Jasper County|Missouri|121328|29097|179564|0.68
Joplin,Missouri|Newton County|Missouri|58236|29145|179564|0.32
